v1, v2, acc
v1: 19, v2: 10, acc: 65.15151515151516
v1: 19, v2: 11, acc: 62.878787878787875
v1: 19, v2: 12, acc: 58.333333333333336
v1: 19, v2: 13, acc: 64.39393939393939
v1: 19, v2: 14, acc: 62.121212121212125
v1: 19, v2: 15, acc: 62.121212121212125
v1: 19, v2: 16, acc: 59.84848484848485
v1: 19, v2: 17, acc: 62.878787878787875
v1: 19, v2: 18, acc: 62.121212121212125
v1: 19, v2: 19, acc: 62.878787878787875
v1: 19, v2: 20, acc: 68.93939393939394
v1: 19, v2: 21, acc: 61.36363636363637
v1: 19, v2: 22, acc: 62.878787878787875
v1: 19, v2: 23, acc: 62.878787878787875
v1: 19, v2: 24, acc: 64.39393939393939
v1: 19, v2: 25, acc: 59.84848484848485
v1: 19, v2: 26, acc: 63.63636363636363
v1: 19, v2: 27, acc: 64.39393939393939
v1: 19, v2: 28, acc: 62.878787878787875
v1: 19, v2: 29, acc: 63.63636363636363
v1: 19, v2: 30, acc: 63.63636363636363
v1: 19, v2: 31, acc: 65.15151515151516
v1: 20, v2: 10, acc: 64.39393939393939
v1: 20, v2: 11, acc: 64.39393939393939
v1: 20, v2: 12, acc: 62.878787878787875
v1: 20, v2: 13, acc: 62.121212121212125
v1: 20, v2: 14, acc: 65.9090909090909
v1: 20, v2: 15, acc: 65.15151515151516
v1: 20, v2: 16, acc: 63.63636363636363
v1: 20, v2: 17, acc: 63.63636363636363
v1: 20, v2: 18, acc: 64.39393939393939
v1: 20, v2: 19, acc: 58.333333333333336
v1: 20, v2: 20, acc: 62.878787878787875
v1: 20, v2: 21, acc: 62.121212121212125
v1: 20, v2: 22, acc: 62.121212121212125
v1: 20, v2: 23, acc: 64.39393939393939
v1: 20, v2: 24, acc: 64.39393939393939
v1: 20, v2: 25, acc: 63.63636363636363
v1: 20, v2: 26, acc: 63.63636363636363
v1: 20, v2: 27, acc: 65.15151515151516
v1: 20, v2: 28, acc: 62.121212121212125
v1: 20, v2: 29, acc: 65.9090909090909
v1: 20, v2: 30, acc: 65.15151515151516
v1: 20, v2: 31, acc: 67.42424242424242
v1: 21, v2: 10, acc: 61.36363636363637
v1: 21, v2: 11, acc: 65.15151515151516
v1: 21, v2: 12, acc: 68.93939393939394
v1: 21, v2: 13, acc: 66.66666666666667
v1: 21, v2: 14, acc: 61.36363636363637
v1: 21, v2: 15, acc: 63.63636363636363
v1: 21, v2: 16, acc: 67.42424242424242
v1: 21, v2: 17, acc: 62.121212121212125
v1: 21, v2: 18, acc: 64.39393939393939
v1: 21, v2: 19, acc: 62.121212121212125
v1: 21, v2: 20, acc: 64.39393939393939
v1: 21, v2: 21, acc: 65.15151515151516
v1: 21, v2: 22, acc: 61.36363636363637
v1: 21, v2: 23, acc: 65.15151515151516
v1: 21, v2: 24, acc: 60.60606060606061
v1: 21, v2: 25, acc: 63.63636363636363
v1: 21, v2: 26, acc: 62.121212121212125
v1: 21, v2: 27, acc: 64.39393939393939
v1: 21, v2: 28, acc: 61.36363636363637
v1: 21, v2: 29, acc: 62.121212121212125
v1: 21, v2: 30, acc: 64.39393939393939
v1: 21, v2: 31, acc: 66.66666666666667
v1: 22, v2: 10, acc: 62.121212121212125
v1: 22, v2: 11, acc: 64.39393939393939
v1: 22, v2: 12, acc: 59.84848484848485
v1: 22, v2: 13, acc: 61.36363636363637
v1: 22, v2: 14, acc: 64.39393939393939
v1: 22, v2: 15, acc: 61.36363636363637
v1: 22, v2: 16, acc: 59.84848484848485
v1: 22, v2: 17, acc: 64.39393939393939
v1: 22, v2: 18, acc: 64.39393939393939
v1: 22, v2: 19, acc: 64.39393939393939
v1: 22, v2: 20, acc: 59.84848484848485
v1: 22, v2: 21, acc: 65.15151515151516
v1: 22, v2: 22, acc: 62.878787878787875
v1: 22, v2: 23, acc: 62.121212121212125
v1: 22, v2: 24, acc: 64.39393939393939
v1: 22, v2: 25, acc: 62.878787878787875
v1: 22, v2: 26, acc: 62.121212121212125
v1: 22, v2: 27, acc: 66.66666666666667
v1: 22, v2: 28, acc: 64.39393939393939
v1: 22, v2: 29, acc: 65.9090909090909
v1: 22, v2: 30, acc: 59.84848484848485
v1: 22, v2: 31, acc: 63.63636363636363
v1: 23, v2: 10, acc: 62.878787878787875
v1: 23, v2: 11, acc: 66.66666666666667
v1: 23, v2: 12, acc: 61.36363636363637
v1: 23, v2: 13, acc: 61.36363636363637
v1: 23, v2: 14, acc: 61.36363636363637
v1: 23, v2: 15, acc: 61.36363636363637
v1: 23, v2: 16, acc: 62.878787878787875
v1: 23, v2: 17, acc: 68.93939393939394
v1: 23, v2: 18, acc: 61.36363636363637
v1: 23, v2: 19, acc: 62.878787878787875
v1: 23, v2: 20, acc: 64.39393939393939
v1: 23, v2: 21, acc: 62.121212121212125
v1: 23, v2: 22, acc: 62.878787878787875
v1: 23, v2: 23, acc: 62.121212121212125
v1: 23, v2: 24, acc: 62.121212121212125
v1: 23, v2: 25, acc: 63.63636363636363
v1: 23, v2: 26, acc: 65.15151515151516
v1: 23, v2: 27, acc: 60.60606060606061
v1: 23, v2: 28, acc: 62.121212121212125
v1: 23, v2: 29, acc: 57.57575757575758
v1: 23, v2: 30, acc: 61.36363636363637
v1: 23, v2: 31, acc: 63.63636363636363
v1: 24, v2: 10, acc: 63.63636363636363
v1: 24, v2: 11, acc: 62.878787878787875
v1: 24, v2: 12, acc: 62.878787878787875
v1: 24, v2: 13, acc: 64.39393939393939
v1: 24, v2: 14, acc: 61.36363636363637
v1: 24, v2: 15, acc: 65.15151515151516
v1: 24, v2: 16, acc: 61.36363636363637
v1: 24, v2: 17, acc: 65.9090909090909
v1: 24, v2: 18, acc: 62.121212121212125
v1: 24, v2: 19, acc: 63.63636363636363
v1: 24, v2: 20, acc: 63.63636363636363
v1: 24, v2: 21, acc: 62.878787878787875
v1: 24, v2: 22, acc: 62.121212121212125
v1: 24, v2: 23, acc: 59.84848484848485
v1: 24, v2: 24, acc: 65.9090909090909
v1: 24, v2: 25, acc: 63.63636363636363
v1: 24, v2: 26, acc: 59.09090909090909
v1: 24, v2: 27, acc: 61.36363636363637
v1: 24, v2: 28, acc: 62.121212121212125
v1: 24, v2: 29, acc: 62.121212121212125
v1: 24, v2: 30, acc: 59.84848484848485
v1: 24, v2: 31, acc: 62.121212121212125
v1: 25, v2: 10, acc: 62.121212121212125
v1: 25, v2: 11, acc: 65.9090909090909
v1: 25, v2: 12, acc: 62.121212121212125
v1: 25, v2: 13, acc: 65.15151515151516
v1: 25, v2: 14, acc: 65.15151515151516
v1: 25, v2: 15, acc: 64.39393939393939
v1: 25, v2: 16, acc: 62.121212121212125
v1: 25, v2: 17, acc: 64.39393939393939
v1: 25, v2: 18, acc: 61.36363636363637
v1: 25, v2: 19, acc: 65.15151515151516
v1: 25, v2: 20, acc: 62.878787878787875
v1: 25, v2: 21, acc: 65.9090909090909
v1: 25, v2: 22, acc: 64.39393939393939
v1: 25, v2: 23, acc: 62.121212121212125
v1: 25, v2: 24, acc: 64.39393939393939
v1: 25, v2: 25, acc: 62.878787878787875
v1: 25, v2: 26, acc: 62.121212121212125
v1: 25, v2: 27, acc: 62.121212121212125
v1: 25, v2: 28, acc: 60.60606060606061
v1: 25, v2: 29, acc: 59.09090909090909
v1: 25, v2: 30, acc: 60.60606060606061
v1: 25, v2: 31, acc: 61.36363636363637
v1: 26, v2: 10, acc: 64.39393939393939
v1: 26, v2: 11, acc: 62.121212121212125
v1: 26, v2: 12, acc: 63.63636363636363
v1: 26, v2: 13, acc: 64.39393939393939
v1: 26, v2: 14, acc: 59.09090909090909
v1: 26, v2: 15, acc: 63.63636363636363
v1: 26, v2: 16, acc: 61.36363636363637
v1: 26, v2: 17, acc: 62.878787878787875
v1: 26, v2: 18, acc: 60.60606060606061
v1: 26, v2: 19, acc: 66.66666666666667
v1: 26, v2: 20, acc: 64.39393939393939
v1: 26, v2: 21, acc: 63.63636363636363
v1: 26, v2: 22, acc: 60.60606060606061
v1: 26, v2: 23, acc: 63.63636363636363
v1: 26, v2: 24, acc: 64.39393939393939
v1: 26, v2: 25, acc: 65.9090909090909
v1: 26, v2: 26, acc: 62.121212121212125
v1: 26, v2: 27, acc: 61.36363636363637
v1: 26, v2: 28, acc: 62.878787878787875
v1: 26, v2: 29, acc: 60.60606060606061
v1: 26, v2: 30, acc: 65.9090909090909
v1: 26, v2: 31, acc: 56.81818181818182
v1: 27, v2: 10, acc: 64.39393939393939
v1: 27, v2: 11, acc: 63.63636363636363
v1: 27, v2: 12, acc: 61.36363636363637
v1: 27, v2: 13, acc: 62.878787878787875
v1: 27, v2: 14, acc: 65.9090909090909
v1: 27, v2: 15, acc: 62.121212121212125
v1: 27, v2: 16, acc: 62.878787878787875
v1: 27, v2: 17, acc: 60.60606060606061
v1: 27, v2: 18, acc: 65.15151515151516
v1: 27, v2: 19, acc: 63.63636363636363
v1: 27, v2: 20, acc: 63.63636363636363
v1: 27, v2: 21, acc: 62.121212121212125
v1: 27, v2: 22, acc: 58.333333333333336
v1: 27, v2: 23, acc: 60.60606060606061
v1: 27, v2: 24, acc: 64.39393939393939
v1: 27, v2: 25, acc: 63.63636363636363
v1: 27, v2: 26, acc: 64.39393939393939
v1: 27, v2: 27, acc: 65.15151515151516
v1: 27, v2: 28, acc: 62.121212121212125
v1: 27, v2: 29, acc: 61.36363636363637
