v1: 12, v2: 24, acc: 50.303030303030305
v1: 12, v2: 25, acc: 51.515151515151516
v1: 12, v2: 26, acc: 50.60606060606061
v1: 12, v2: 27, acc: 51.36363636363637
v1: 12, v2: 28, acc: 44.54545454545455
v1: 12, v2: 29, acc: 51.06060606060606
v1: 12, v2: 30, acc: 50.90909090909091
v1: 12, v2: 31, acc: 50.60606060606061
v1: 11, v2: 10, acc: 51.81818181818182
v1: 11, v2: 11, acc: 46.96969696969697
v1: 11, v2: 12, acc: 53.333333333333336
v1: 11, v2: 13, acc: 53.63636363636363
v1: 11, v2: 14, acc: 49.39393939393939
v1: 11, v2: 15, acc: 52.27272727272727
v1: 11, v2: 16, acc: 52.27272727272727
v1: 11, v2: 17, acc: 50.75757575757576
v1: 11, v2: 18, acc: 52.42424242424242
v1: 11, v2: 19, acc: 53.03030303030303
v1: 11, v2: 20, acc: 51.666666666666664
v1: 11, v2: 21, acc: 51.21212121212121
v1: 11, v2: 22, acc: 52.121212121212125
v1: 11, v2: 23, acc: 48.63636363636363
v1: 11, v2: 24, acc: 50.303030303030305
v1: 11, v2: 25, acc: 50.45454545454545
v1: 11, v2: 26, acc: 50.60606060606061
v1: 11, v2: 27, acc: 51.21212121212121
v1: 11, v2: 28, acc: 49.39393939393939
v1: 11, v2: 29, acc: 50.75757575757576
v1: 11, v2: 30, acc: 50.90909090909091
v1: 11, v2: 31, acc: 54.696969696969695
