v1: 32, v2: 10, acc: 54.84848484848485
v1: 32, v2: 11, acc: 55.90909090909091
v1: 32, v2: 12, acc: 56.21212121212121
v1: 32, v2: 13, acc: 55.45454545454545
v1: 32, v2: 14, acc: 58.93939393939394
v1: 32, v2: 15, acc: 56.666666666666664
v1: 32, v2: 16, acc: 57.42424242424242
v1: 32, v2: 17, acc: 57.72727272727273
v1: 32, v2: 18, acc: 58.484848484848484
v1: 32, v2: 19, acc: 55.0
v1: 32, v2: 20, acc: 53.93939393939394
v1: 32, v2: 21, acc: 57.27272727272727
v1: 32, v2: 22, acc: 55.60606060606061
v1: 32, v2: 23, acc: 58.93939393939394
v1: 32, v2: 24, acc: 57.27272727272727
v1: 32, v2: 25, acc: 56.81818181818182
v1: 32, v2: 26, acc: 56.21212121212121
v1: 32, v2: 27, acc: 55.90909090909091
v1: 32, v2: 28, acc: 55.15151515151515
v1: 32, v2: 29, acc: 58.78787878787879
v1: 32, v2: 30, acc: 56.666666666666664
v1: 32, v2: 31, acc: 54.54545454545455
v1: 31, v2: 10, acc: 54.84848484848485
v1: 31, v2: 11, acc: 57.878787878787875
v1: 31, v2: 12, acc: 56.81818181818182
v1: 31, v2: 13, acc: 55.15151515151515
v1: 31, v2: 14, acc: 57.27272727272727
v1: 31, v2: 15, acc: 55.75757575757576
v1: 31, v2: 16, acc: 57.72727272727273
v1: 31, v2: 17, acc: 57.878787878787875
v1: 31, v2: 18, acc: 55.0
v1: 31, v2: 19, acc: 56.515151515151516
v1: 31, v2: 20, acc: 57.878787878787875
v1: 31, v2: 21, acc: 55.45454545454545
v1: 31, v2: 22, acc: 57.878787878787875
v1: 31, v2: 23, acc: 57.42424242424242
v1: 31, v2: 24, acc: 56.666666666666664
v1: 31, v2: 25, acc: 57.42424242424242
v1: 31, v2: 26, acc: 55.60606060606061
v1: 31, v2: 27, acc: 57.57575757575758
v1: 31, v2: 28, acc: 55.0
v1: 31, v2: 29, acc: 58.78787878787879
v1: 31, v2: 30, acc: 57.27272727272727
v1: 31, v2: 31, acc: 56.666666666666664
v1: 30, v2: 10, acc: 57.57575757575758
v1: 30, v2: 11, acc: 56.81818181818182
v1: 30, v2: 12, acc: 56.21212121212121
v1: 30, v2: 13, acc: 58.484848484848484
v1: 30, v2: 14, acc: 56.81818181818182
v1: 30, v2: 15, acc: 58.333333333333336
v1: 30, v2: 16, acc: 57.27272727272727
v1: 30, v2: 17, acc: 56.36363636363637
v1: 30, v2: 18, acc: 58.333333333333336
v1: 30, v2: 19, acc: 56.21212121212121
v1: 30, v2: 20, acc: 54.24242424242424
v1: 30, v2: 21, acc: 59.09090909090909
v1: 30, v2: 22, acc: 55.90909090909091
v1: 30, v2: 23, acc: 58.63636363636363
v1: 30, v2: 24, acc: 56.36363636363637
v1: 30, v2: 25, acc: 55.303030303030305
v1: 30, v2: 26, acc: 58.03030303030303
